id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-1242000000,4911,71,-0.0874329186645303,0.6684992873141931,16.181248983059316,-5.939005934670324,-1.145750550935809
contig-1249000000,4847,41,-0.0721535167187451,0.378378378378378,-11.918052709400545,-3.74219350251893,3.274753398786903
contig-1257000000,4784,81,-0.0879632688070991,0.660535117056856,16.755614206867392,-3.6667290910500565,-3.482675303784316
contig-126000000,103378,61,-0.0670935631730495,0.500425622472867,0.92893107508886,3.679717252960365,-0.5238606567380333
contig-1285000000,4529,11,-0.0744656363073501,0.544491057628616,5.3881217360576015,8.575177669322214,4.537912518040682
contig-129000000,41391,61,-0.0665148893450298,0.505375564736295,1.403059953809043,3.8767753895253163,-0.18480919160281167
contig-1318000000,4252,11,-0.0726793938966567,0.525870178739417,3.6283121388106876,8.5205084258854,3.0933298316029916
contig-132000000,40405,31,-0.0803633409145861,0.328177205791362,-16.286227078080547,-3.4720508767904286,-5.3212108200654775
contig-1320000000,30091,71,-0.0816592847647486,0.6486324814728659,15.74810895850517,-2.862871251641531,-2.15207417290397
contig-134000000,39895,41,-0.0742673931782168,0.371700714375235,-12.393399011415083,-4.629199833608792,4.174635749720914
contig-1351000000,4070,71,-0.0865985613095241,0.664373464373464,16.070136502280018,-2.0161753646559846,-3.129862324884535
contig-1361000000,39935,61,-0.0667678879946786,0.497909102291223,0.516983545222772,4.296013311833633,0.4513608784866116
contig-137000000,39318,61,-0.0680897360505617,0.526934228597589,3.629797127079854,5.2553674614413355,-0.0797941500658041
contig-1378000000,3912,11,-0.0737051241898217,0.5432004089979551,5.403336165971523,7.175738015017,4.405432811790364
contig-1383000000,11671,11,-0.0729536319030439,0.5374003941393201,4.485842502251768,7.472100202519768,2.8556103622632545
contig-1392000000,3823,41,-0.0726926820026802,0.381375882814544,-11.241999475236437,-6.13814120481746,3.5598393507923376
contig-1399000000,3791,11,-0.0705095136284344,0.508309153257716,2.616445784666489,8.116651393107267,3.068145905261259
contig-1448000000,43245,71,-0.08293934955626299,0.655798358191699,15.851383610992448,-3.3398225284718706,-1.8691818806613076
contig-1454000000,3392,11,-0.0719131814884452,0.53626179245283,3.344138771728554,6.66259133902422,4.131470924208164
contig-146000000,38272,51,-0.0689131589422788,0.454535953177258,-3.554630969190645,2.839524835638692,2.361621509774742
contig-148000000,38195,71,-0.0826541571891285,0.6465505956276999,15.624014108107367,-3.3782136514057814,-3.255014500541862
contig-149000000,61268,51,-0.0692051046418137,0.44977802441731396,-4.038435866512426,3.3389984641781445,2.037507449141134
contig-1507000000,3167,71,-0.0841815645379399,0.6564572150299971,15.964862295894054,-3.0044344689773537,-2.068397760984838
contig-151000000,37478,61,-0.0674295358988834,0.512727466780511,1.8760289974740827,4.883125372030888,0.3514345279130077
contig-1517000000,3115,11,-0.0704467046519717,0.5194221508828251,3.568497604889779,9.551642256050618,1.6427621476395904
contig-152000000,37379,61,-0.0666866389838696,0.49428823671045197,0.6199209004030903,4.285581422590825,-0.4174463491212241
contig-1521000000,3083,71,-0.0865841251535255,0.665585468699319,15.770228660426046,-6.240015271683872,-0.8951176396760822
contig-1522000000,3226,11,-0.0709529799316141,0.533787972721637,4.298868036440413,6.413047475903927,4.41391113889705
contig-153000000,37353,71,-0.0847319781960841,0.657243059459749,16.110473336905574,-3.0701924128778337,-2.581022901528446
contig-1562000000,2869,11,-0.0726340752957363,0.536772394562565,5.405380335772051,7.779757196653548,3.4124588202863766
contig-1569000000,4150,71,-0.0826616950298041,0.653734939759036,14.492780524957329,-4.3910864766378745,-1.1553256847158124
contig-1582000000,2755,41,-0.0718891003162181,0.38112522686025396,-11.568653706940813,-5.698473090923943,4.240199712021142
contig-159000000,36832,31,-0.0796003097205843,0.331858166811468,-16.470582089516014,-4.156508787222557,-5.753584799865161
contig-163000000,36533,41,-0.0738049735478347,0.376180439602551,-11.957841613324598,-5.014146320222974,5.28360321483007
contig-165000000,36040,61,-0.0661681284882024,0.49506104328523903,0.8327984817227723,3.8922094502847977,0.4755807634631696
contig-168000000,35374,61,-0.0667098403775779,0.507943687454062,1.7782056026859754,4.419422618980679,-0.1894849780942789
