id,bin
contig-2294000000,61
contig-233000000,71
contig-2338000000,71
contig-235000000,61
contig-245000000,61
contig-2471000000,71
contig-250000000,61
contig-254000000,41
contig-2617000000,41
contig-264000000,32
contig-268000000,61
contig-27000000,51
contig-270000000,61
contig-275000000,31
contig-2775000000,32
contig-281000000,32
contig-284000000,71
contig-285000000,41
contig-286000000,71
contig-289000000,61
contig-291000000,71
contig-292000000,61
contig-2928000000,71
contig-297000000,71
contig-298000000,61
contig-3000000,51
contig-30000000,51
contig-304000000,61
contig-309000000,32
contig-3093000000,51
contig-31000000,31
contig-314000000,11
contig-315000000,32
contig-316000000,61
contig-317000000,61
contig-32000000,51
contig-3235000000,71
contig-3250000000,41
contig-3251000000,41
contig-3252000000,71
contig-328000000,61
contig-330000000,71
contig-331000000,51
contig-332000000,71
contig-337000000,61
contig-340000000,81
contig-341000000,61
contig-346000000,61
contig-35000000,31
contig-352000000,11
contig-361000000,71
contig-367000000,61
contig-369000000,61
contig-372000000,32
contig-375000000,32
contig-378000000,32
contig-379000000,71
contig-386000000,32
contig-387000000,71
contig-388000000,71
contig-39000000,51
contig-397000000,71
contig-4000000,51
contig-40000000,51
contig-406000000,61
contig-408000000,71
contig-409000000,32
contig-414000000,61
contig-415000000,41
contig-418000000,32
contig-426000000,71
contig-428000000,41
contig-429000000,41
contig-435000000,61
contig-437000000,61
contig-446000000,81
contig-453000000,41
contig-459000000,31
contig-46000000,41
contig-466000000,61
contig-467000000,71
contig-468000000,71
contig-47000000,61
contig-484000000,71
contig-486000000,61
contig-49000000,51
contig-491000000,41
contig-492000000,11
contig-494000000,41
contig-499000000,61
contig-5000000,51
contig-503000000,71
contig-504000000,41
contig-507000000,81
contig-508000000,41
contig-515000000,41
contig-519000000,11
contig-520000000,41
contig-523000000,51
contig-529000000,71
contig-537000000,71
contig-56000000,31
contig-560000000,81
contig-562000000,71
contig-567000000,71
contig-569000000,41
contig-571000000,61
contig-574000000,32
contig-577000000,71
contig-579000000,61
contig-585000000,11
contig-589000000,41
contig-594000000,11
contig-598000000,41
contig-599000000,41
contig-6000000,51
contig-600000000,61
contig-611000000,41
contig-621000000,11
contig-623000000,71
contig-627000000,11
contig-63000000,41
contig-639000000,81
contig-640000000,71
contig-641000000,11
contig-642000000,71
contig-655000000,61
contig-658000000,32
contig-663000000,41
contig-665000000,61
contig-666000000,41
contig-667000000,11
contig-678000000,32
contig-694000000,11
contig-70000000,41
contig-700000000,11
contig-701000000,61
contig-704000000,41
contig-71000000,41
contig-712000000,11
contig-715000000,41
contig-72000000,51
contig-720000000,11
contig-722000000,11
contig-723000000,71
contig-732000000,11
contig-738000000,81
contig-740000000,71
contig-741000000,61
contig-746000000,11
contig-752000000,41
contig-76000000,51
contig-760000000,41
contig-764000000,11
contig-770000000,11
contig-772000000,41
contig-79000000,32
contig-794000000,71
contig-795000000,32
contig-797000000,11
contig-8000000,51
contig-804000000,32
contig-81000000,61
contig-82000000,51
contig-820000000,11
contig-835000000,11
contig-839000000,11
contig-841000000,61
contig-850000000,41
contig-851000000,11
contig-854000000,11
contig-856000000,61
contig-858000000,11
contig-870000000,61
contig-877000000,41
contig-878000000,41
contig-88000000,51
contig-89000000,31
contig-899000000,71
contig-907000000,71
contig-908000000,61
contig-911000000,41
contig-917000000,41
contig-92000000,61
contig-931000000,11
contig-936000000,51
contig-946000000,71
contig-95000000,32
contig-96000000,32
contig-962000000,11
contig-977000000,71
contig-984000000,71
contig-985000000,11
contig-99000000,41
contig-996000000,61
